config,station_id,station_name,region,n_rows,r2,rmse,mae,baseline_full,baseline_sat,stage1_err_full,stage1_err_sat
V2,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.7164,15.36,12.68,18.49,15.35,12.25,9.11
V2,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.2289,38.73,23.6,33.56,33.16,-21.65,-22.05
V3,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.5278,25.97,21.95,37.69,36.42,10.59,9.33
V3,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.0004,18.66,9.54,17.93,17.62,4.74,4.43
V3,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.3485,26.97,20.22,46.61,35.85,-1.93,-12.69
V3,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-4.8981,18.2,15.04,19.22,14.56,12.36,7.7
V3,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.6555,11.78,9.25,17.61,26.07,6.97,15.43
V3,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-3.6466,16.48,14.3,0.37,4.86,-6.25,-1.75
V3,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-1.8303,41.45,29.93,34.36,34.43,6.41,6.48
V3,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,0.0367,44.59,29.33,34.61,32.92,-17.58,-19.27
V3,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-2.5679,12.13,10.16,0.59,7.7,-8.54,-1.43
V3,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.8614,6.77,5.15,11.29,5.84,5.57,0.12
V3,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.0866,20.48,15.87,34.16,31.71,10.72,8.27
V3,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.0155,19.74,16.54,41.77,29.73,16.37,4.32
V3,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.9732,28.81,17.33,18.71,16.37,3.23,0.89
V3,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.548,9.08,6.34,8.08,13.09,1.12,6.14
V3,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-1.2197,13.34,9.9,2.19,8.93,-5.43,1.32
V3,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,-1.3652,19.63,17.01,9.89,19.51,0.4,10.02
V3,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.6641,13.57,10.09,23.36,28.05,14.12,18.82
V3,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,0.0269,13.41,8.25,12.75,14.18,1.83,3.26
V3,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.0815,12.96,10.42,17.1,24.99,6.18,14.07
V3,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.4971,12.42,8.07,2.41,10.18,-4.3,3.47
