config,station_id,station_name,region,n_rows,cluster,r2,rmse,mae,baseline_sat,n_train_stations
C3,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,2,0.1258,7.15,5.36,4.86,
C3,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,3,-0.1535,26.46,19.5,34.43,
C3,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,3,-0.0526,46.61,29.25,32.92,
C3,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,1,-0.1147,6.78,4.05,7.7,
C3,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,1,-0.65,6.38,4.92,5.84,
C3,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,3,0.3547,17.21,11.26,31.71,
C3,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,3,0.2041,17.48,12.09,29.73,
C3,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,2,-0.1158,21.67,13.31,16.37,
C3,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,2,-0.0101,7.33,6.02,13.09,
C3,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,2,-0.0835,9.32,4.35,8.93,
C3,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,2,0.3041,10.65,7.51,19.51,
C3,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,3,-1.8277,13.98,11.04,28.05,
