config,station_id,station_name,region,n_rows,r2,rmse,mae,acag_annual,acag_vs_actual
A3,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.2534,12.53,9.13,22.18,-1.42
A3,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.7296,15.48,10.44,33.03,-4.59
A3,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.7057,16.4,10.68,31.72,-7.46
A3,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.7212,19.61,14.11,37.84,-8.94
A3,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,-0.2273,26.01,20.02,41.27,4.34
A3,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,-0.1841,13.61,11.1,34.93,13.59
A3,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.4076,10.51,7.41,34.69,12.11
A3,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.4103,27.79,19.06,32.28,-10.91
A3,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.1607,18.95,14.14,19.79,1.7
A3,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.3046,10.93,7.47,24.41,3.24
A3,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.2726,10.25,8.3,22.48,6.99
A3,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.128,13.19,9.51,20.42,0.56
A3,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.0094,25.04,14.88,18.25,-9.15
A3,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.5114,23.88,15.3,28.7,-8.48
A3,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.2345,8.96,6.37,21.71,7.04
A3,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.0275,13.69,8.67,18.47,6.4
A3,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.7019,19.27,16.85,21.45,15.2
A3,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.4211,52.57,34.29,31.52,-23.69
