config,station_id,station_name,region,n_rows,r2,rmse,mae
K4,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.1631,13.26,9.84
K4,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5389,20.21,13.86
K4,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.6819,17.05,11.61
K4,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.635,22.43,15.79
K4,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.2937,19.73,14.16
K4,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.6078,7.83,5.6
K4,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.5698,8.96,6.3
K4,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.6816,20.42,13.22
K4,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.2341,18.1,11.1
K4,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.2965,10.99,7.63
K4,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.031,8.94,6.91
K4,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.1023,13.38,9.61
K4,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.0698,25.78,15.49
K4,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4257,25.89,15.9
K4,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.0884,7.7,5.63
K4,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.3205,15.52,11.83
K4,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-4.8643,28.39,25.43
K4,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.4318,52.77,34.24
K5,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,0.3164,17.37,13.25
K5,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,0.0304,18.37,8.66
K5,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.1882,30.11,21.47
K5,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.5148,15.92,13.29
K5,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,0.0167,9.08,6.24
K5,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-2.4409,14.18,11.66
K5,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.6246,31.4,23.04
K5,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,0.1734,41.31,26.67
K5,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.1159,6.78,4.54
K5,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-3.7989,10.88,9.77
K5,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.0593,20.78,15.05
K5,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.3165,16.2,10.38
K5,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.2819,30.98,18.78
K5,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-1.6314,11.84,10.51
K5,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-2.1848,15.98,13.24
K5,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2852,10.79,7.5
K5,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.9677,14.32,10.63
K5,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.202,14.91,10.4
K5,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.051,12.86,9.94
K5,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.2891,11.52,8.68
K5,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.091,12.63,9.12
K5,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,-0.3764,19.68,14.3
K5,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.125,15.38,11.27
K5,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5173,20.68,13.3
K5,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.3697,24.0,17.49
K5,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.5849,23.93,16.38
K5,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.6743,13.4,9.52
K5,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.4814,9.01,6.56
K5,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.4462,10.16,7.16
