config,stationId,station_name,region,tier_qc,n,r2,rmse,mae,bias,pm25_mean,pred_mean
Oracle true-tier,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,3,19021,0.5941196346584895,23.054479821833063,14.805557442709574,-4.790807197804443,43.191704195363016,38.400896997558576
Global XGBoost,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,1,18976,0.1379569163155443,19.20045831606384,10.746403033359458,-5.6728539251016326,18.083109359190555,12.410255434088924
Geographic region,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,1,18976,0.3412960523256918,16.783875242619693,11.158998084695746,2.15412833871954,18.083109359190555,20.237237697910096
Oracle true-tier,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,1,18976,0.044405128457867815,20.215477997187783,11.06259481336019,-7.37917856740274,18.083109359190555,10.703930791787815
Global XGBoost,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,2,19979,-0.24308513814162946,14.615164031686437,9.959990347260367,-8.666766214637484,21.171073797487363,12.504307582849878
Geographic region,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,2,19979,-0.7852281618920407,17.514595892642557,13.152511485229867,-12.886037631344328,21.171073797487363,8.285036166143033
Oracle true-tier,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,2,19979,0.12293405508149802,12.276353373227586,9.123561170615332,1.0296335698611625,21.171073797487363,22.200707367348524
Global XGBoost,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,1,14295,0.10990583291041311,8.5684889994209,6.436179670431985,-0.19227228485443662,15.490996789087093,15.298724504232657
Geographic region,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,1,14295,-0.003452494327404576,9.097764158089113,6.99508310934493,0.4053265884427701,15.490996789087093,15.896323377529864
Oracle true-tier,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,1,14295,0.03069801014886364,8.941611945544393,6.777109066494078,-0.10531631935933526,15.490996789087093,15.385680469727758
Global XGBoost,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,2,19014,0.019907705305824086,13.914161320400176,9.494895796653859,-5.860988839242386,20.06555416535185,14.204565326109462
Geographic region,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,2,19014,0.1247533094068598,13.148880713545704,9.045843271987174,-3.8127611946437394,20.06555416535185,16.252792970708107
Oracle true-tier,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,2,19014,0.23289482777950743,12.309800153115578,8.9218046659022,-0.5002582902605581,20.06555416535185,19.565295875091287
Global XGBoost,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,2,18799,-0.0163422939762623,25.12445746749749,15.310344676615635,-10.169426894707353,27.41243691153785,17.243010016830496
Geographic region,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,2,18799,-0.09734999349515427,26.106537530607554,15.452639156442485,-10.860304380162711,27.41243691153785,16.552132531375136
Oracle true-tier,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,2,18799,-0.1422864952710563,26.635706106366438,15.56579148185564,-9.814114417071188,27.41243691153785,17.598322494466657
Global XGBoost,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,3,19604,0.2897569739834033,28.79032153221221,18.256902700328652,-6.118448461555593,37.191192807590284,31.072744346034696
Geographic region,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,3,19604,0.29454742333272876,28.693064735592422,17.75205307074035,-8.136745837470254,37.191192807590284,29.054446970120033
Oracle true-tier,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,3,19604,0.43812654779615523,25.607211145699026,16.23376770526973,-4.8780555136824395,37.191192807590284,32.31313729390785
Global XGBoost,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,1,20164,0.1399360059177981,7.482508420627097,5.411709174651546,-2.3917086338347042,14.669084928585598,12.277376294750894
Geographic region,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,1,20164,0.23980277276742368,7.034690122234127,5.139360118340718,-1.5347300419950267,14.669084928585598,13.134354886590572
Oracle true-tier,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,1,20164,-0.35121273337966263,9.378722705475544,6.979011451965389,-5.091285539620075,14.669084928585598,9.577799388965524
Global XGBoost,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,1,9687,0.051142446073697,13.107018915708744,7.72950084575284,-3.7934780100517944,12.042943945493962,8.249465935442167
Geographic region,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,1,9687,0.1879482222685691,12.125377746186683,7.4392230618145785,-0.3997264909461715,12.042943945493962,11.64321745454779
Oracle true-tier,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,1,9687,0.16359163721590975,12.305877844680058,7.486673862400963,-0.6743855027795098,12.042943945493962,11.368558442714452
Global XGBoost,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Central,0,11414,-0.17107388360994302,13.358386422545998,9.8581124528168,5.1090318077945,7.246145820921674,12.355177628716174
Geographic region,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Central,0,11414,-0.46054762266082205,14.918313023030866,11.081442919495085,6.515076483234841,7.246145820921674,13.761222304156517
Oracle true-tier,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Central,0,11414,0.16124565656008338,11.305225917608078,5.942196135881517,-0.8015767931865814,7.246145820921674,6.444569027735094
Global XGBoost,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,3,14937,-0.09778651067092059,46.207400440882125,29.724224958152796,-26.65319641315271,55.214377840262436,28.561181427109727
Geographic region,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,3,14937,-0.2213924804637062,48.73940380070039,31.65455420215829,-29.70012823677413,55.214377840262436,25.514249603488306
Oracle true-tier,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,3,14937,0.30148030645831236,36.85886169507989,23.479152814202155,-10.207547568048847,55.214377840262436,45.00683027221359
